id,first_name,last_name,email,gender,country,city,credit_card_type,quantity,transaction_completed
1,Eyde,Dulwitch,edulwitch0@oakley.com,Male,China,Zumiao,mastercard,1,true
2,Jakob,Hoofe,jhoofe1@time.com,Female,Jamaica,Petersfield,diners-club-carte-blanche,2,true
3,Duky,Abbotson,dabbotson2@hhs.gov,Male,Poland,Wiślica,maestro,5,false
4,Leeann,Beall,lbeall3@go.com,Male,China,Du’ermenqin,jcb,1,true
5,Lilian,Weeks,lweeks4@shop-pro.jp,Female,Brazil,Dois Córregos,maestro,4,true
6,Jacquenetta,Menghi,jmenghi5@nasa.gov,Female,Syria,Al Mayādīn,americanexpress,1,true
7,Jorie,Fallanche,jfallanche6@yellowbook.com,Female,Indonesia,Kampungtengah,americanexpress,5,true
8,Agustin,Rigmond,arigmond7@independent.co.uk,Female,Argentina,Mercedes,jcb,2,true
9,Findlay,Crole,fcrole8@usnews.com,Genderqueer,Bolivia,La Cueva,jcb,5,true
10,Tristam,Shovlin,tshovlin9@slate.com,Male,Argentina,Santo Tomé,visa-electron,2,true
11,Mel,Bailess,mbailessa@yandex.ru,Male,Canada,White City,jcb,1,true
12,Cher,Lemmon,clemmonb@microsoft.com,Male,Ukraine,Pnikut,americanexpress,1,false
13,Roobbie,Lavallie,rlavalliec@hp.com,Polygender,Ethiopia,Konso,visa-electron,5,true
14,Kori,Phythean,kphytheand@craigslist.org,Female,China,Donggaocun,instapayment,4,true
15,Horace,Lovstrom,hlovstrome@photobucket.com,Male,Falkland Islands,Stanley,jcb,5,false
16,Nani,Jesson,njessonf@cdc.gov,Male,China,Tiandu,jcb,1,false
17,Crysta,Shaudfurth,cshaudfurthg@wired.com,Female,Mexico,Tierra Blanca,mastercard,2,false
18,Rasia,Hamlett,rhamletth@infoseek.co.jp,Female,Philippines,Bualan,jcb,5,true
19,Calvin,Dello,cdelloi@furl.net,Polygender,Indonesia,Panineungan,diners-club-enroute,3,false
20,Evie,Patty,epattyj@harvard.edu,Female,Argentina,Villa La Angostura,bankcard,3,true
21,Lorrin,Riddall,lriddallk@skyrock.com,Male,Japan,Atami,americanexpress,3,true
22,Dagmar,Swain,dswainl@ucla.edu,Female,Portugal,Rego,jcb,1,false
23,Carolynn,Havis,chavism@ezinearticles.com,Male,Ghana,Asamankese,diners-club-us-ca,3,true
24,Marcile,Monk,mmonkn@spotify.com,Female,Argentina,Rufino,mastercard,1,false
25,Lory,Gealy,lgealyo@webnode.com,Male,China,Nanqi,jcb,1,false
26,Roda,Brewett,rbrewettp@cpanel.net,Female,Nigeria,Lame,maestro,5,false
27,Glenden,Stannering,gstanneringq@taobao.com,Female,Indonesia,Pakuwon,jcb,5,false
28,Tanhya,Ingman,tingmanr@moonfruit.com,Female,Syria,Tartouss,jcb,2,false
29,Gawain,Piers,gpierss@mit.edu,Female,New Zealand,Papatowai,jcb,5,true
30,Ernesto,Crankhorn,ecrankhornt@livejournal.com,Female,Indonesia,Losari,mastercard,2,false
31,Pam,Tichelaar,ptichelaaru@ucsd.edu,Female,Philippines,Bagombong,visa-electron,2,true
32,Garvey,Tucsell,gtucsellv@reddit.com,Female,Ecuador,Montalvo,diners-club-enroute,1,false
33,Kilian,todor,ktodorw@plala.or.jp,Male,Russia,Asbest,maestro,5,false
